departamento,municipio,rendimiento_inferido,produccion_esperada_t,ingreso_esperado_cop
RISARALDA,DOSQUEBRADAS,9.84031739977457,3530.7058830391156,12710541178.940815
NORTE DE SANTANDER,DURANIA,6.322859340638659,2668.246641749514,9605687910.29825
ANTIOQUIA,EBEJICO,5.1903596769694165,7790.729875131095,28046627550.47194
VALLE DEL CAUCA,EL AGUILA,12.564245977037405,26384.91655177855,94985699586.40279
ANTIOQUIA,EL BAGRE,9.464634115806035,1815.3168234115976,6535140564.281752
MAGDALENA,EL BANCO,7.088127393255439,276.43696833696214,995173086.0130637
VALLE DEL CAUCA,EL CAIRO,9.59529058883026,22817.60102023836,82143363672.8581
NORTE DE SANTANDER,EL CARMEN,7.968003677506511,10007.812618948177,36028125428.21344
CHOCO,EL CARMEN DE ATRATO,8.129263286966903,1853.4720294284539,6672499305.942434
BOLIVAR,EL CARMEN DE BOLIVAR,9.863921701355803,6806.105973935504,24501981506.167812
SANTANDER,EL CARMEN DE CHUCURI,3.3161295425540938,4974.194313831141,17907099529.792107
META,EL CASTILLO,15.801851565203538,20005.144081547678,72018518693.57164
NARINO,EL CHARCO,9.98030657097084,30180.447070615817,108649609454.21695
CUNDINAMARCA,EL COLEGIO,4.611594656085979,1231.2957731749564,4432664783.429843
CESAR,EL COPEY,11.760574270096832,1117.254555659199,4022116400.3731165
CAQUETA,EL DONCELLO,8.029121721362491,1645.9699528793108,5925491830.365519
META,EL DORADO,9.837197416991977,1524.7655996337564,5489156158.681523
VALLE DEL CAUCA,EL DOVIO,9.856841070092942,1978.2680027676533,7121764809.963552
SANTANDER,EL GUACAMAYO,7.299319340399947,80.29251274439942,289053045.8798379
BOLIVAR,EL GUAMO,6.051004711556703,544.5904240401032,1960525526.5443716
CHOCO,EL LITORAL DEL SAN JUAN,6.17974897430945,803.3673666602285,2892122519.976823
LA GUAJIRA,EL MOLINO,7.74194454839885,425.80695016193675,1532905020.5829723
CAQUETA,EL PAUJIL,6.88093791728099,330.28502002948755,1189026072.1061552
BOLIVAR,EL PENON,2.8826839236321757,219.08397819604536,788702321.5057633
CUNDINAMARCA,EL PENON,9.830909511464375,683.248211046774,2459693559.768387
SANTANDER,EL PENON,11.981108918209047,227.6410694459719,819507850.0054989
SANTANDER,EL PLAYON,8.100892549029554,1855.104393727768,6678375817.419965
GUAVIARE,EL RETORNO,6.183354583543298,9955.20087950471,35838723166.21696
SUCRE,EL ROBLE,5.9355262217838005,59.355262217838,213678943.9842168
NARINO,EL ROSARIO,6.990999700329654,69.90999700329654,251675989.21186754
ANTIOQUIA,EL SANTUARIO,6.1038675015900345,12.207735003180069,43947846.01144825
NARINO,EL TABLON DE GOMEZ,5.987855088964558,1580.7937434866433,5690857476.551915
CAUCA,EL TAMBO,14.134344059170145,55123.941830763564,198446190590.7488
NARINO,EL TAMBO,8.649980562402712,3693.541700145958,13296750120.52545
NORTE DE SANTANDER,EL TARRA,7.959785457206302,2348.136709875859,8453292155.553093
NORTE DE SANTANDER,EL ZULIA,8.023070445274545,6290.087229095243,22644314024.742874
HUILA,ELIAS,4.216610000168893,796.9392900319207,2868981444.1149144
TOLIMA,ESPINAL,3.6722950299549666,403.9524532950463,1454228831.8621666
TOLIMA,FALAN,8.420572952270135,25009.1016682423,90032766005.67227
CALDAS,FILADELFIA,11.19811960895477,7183.593729144484,25860937424.920143
QUINDIO,FILANDIA,5.986702299401827,12931.276966707946,46552597080.148605
TOLIMA,FLANDES,6.933343341694194,27.733373366776775,99840144.12039639
CAQUETA,FLORENCIA,6.016191345823691,4151.172028618346,14944219303.026047
CAUCA,FLORENCIA,6.044541835427119,622.5878090489932,2241316112.5763755
VALLE DEL CAUCA,FLORIDA,7.983502313695578,2344.3554544167064,8439679635.900144
LA GUAJIRA,FONSECA,6.129425392491042,931.6726596586384,3354021574.771098
ARAUCA,FORTUL,19.094120351446673,61864.94993868722,222713819779.274
NARINO,FRANCISCO PIZARRO,7.81489370532652,9932.729899470007,35757827638.092026
ANTIOQUIA,FREDONIA,4.17715426120755,4381.834820006719,15774605352.02419
TOLIMA,FRESNO,8.07255822802604,21618.310934653735,77825919364.75343
ANTIOQUIA,FRONTINO,6.397855992566431,314.0067721151604,1130424379.6145773
META,FUENTE DE ORO,24.9265691207425,224311.95212634088,807523027654.8271
