departamento,municipio,rendimiento_original,produccion_esperada_t,ingreso_promedio_5y_cop
NORTE DE SANTANDER,LABATECA,1.1787165676837714,1082.3211267785925,18009823549.59578
BOYACA,LABRANZAGRANDE,1.2863366260266917,135.4641100868709,2254122791.8455315
SANTANDER,LANDAZURI,1.1683583317896222,18.635315392044475,310091648.1236201
SANTANDER,LEBRIJA,1.3095558370901372,52.39532904197639,871858275.2584871
NARINO,LEIVA,1.219047210408332,708.1567149983041,11783727737.57178
META,LEJANIAS,1.2948675634069495,316.34909441595187,5264048931.081439
TOLIMA,LERIDA,1.2572035278110811,186.21698653937733,3098650656.015239
TOLIMA,LIBANO,1.2175773840893913,7026.164228400082,116915372760.57736
ANTIOQUIA,LIBORINA,1.2800155176049168,1537.209035557273,25579158351.673023
NARINO,LINARES,1.2902947064006411,598.0774023108252,9952007974.452131
NARINO,LOS ANDES,1.1879724470421866,421.4094661392749,7012253516.557534
NORTE DE SANTANDER,LOS PATIOS,1.2732364938604999,175.63024196311736,2922487226.266273
NORTE DE SANTANDER,LOURDES,1.2285202034461404,1136.4426141978522,18910405100.25226
BOYACA,MACANAL,1.1360200650622931,112.64774965157699,1874458554.2022412
ANTIOQUIA,MACEO,1.471935215708832,83.23793644833444,1385079262.500285
CUNDINAMARCA,MACHETA,1.260574537066975,136.07902127637996,2264354914.038963
SANTANDER,MALAGA,1.2491861171940106,18.86271036962956,313875500.55063593
NARINO,MALLAMA,1.1734569435807782,50.48211771284508,840022438.7417421
CESAR,MANAURE BALCON DEL CESAR,1.141364657924818,819.4199288639645,13635147616.29637
CALDAS,MANIZALES,1.4705083579059812,5024.138855621575,83601670557.54301
CUNDINAMARCA,MANTA,1.1602606649788232,193.19500332562384,3214764855.338381
CALDAS,MANZANARES,1.4863277557851875,3332.019836364118,55444810077.09892
ANTIOQUIA,MARINILLA,1.2921780729746026,29.07400664192856,483791470.5216912
BOYACA,MARIPI,1.23599858223363,266.04869482578886,4427050281.901127
CALDAS,MARMATO,1.2287363732666252,348.9488426439889,5806508741.595975
