departamento,municipio,rendimiento_inferido,produccion_esperada_t,ingreso_esperado_cop
BOYACA,CUBARA,0.5124588618942002,14.348848133037606,183665256.10288137
META,CUBARRAL,0.6113632255293875,117.99310252717179,1510311712.3477988
META,CUMARAL,0.6719868961910329,26.879475847641316,344057290.8498088
VICHADA,CUMARIBO,0.6813477963620754,306.60650836293394,3924563307.045554
NARINO,CUMBITARA,0.5894725897246547,107.28401132988715,1373235345.0225554
TOLIMA,CUNDAY,0.6524717731205069,203.57119321359815,2605711273.1340566
CAQUETA,CURILLO,0.6339076367248693,72.89937822335996,933112041.2590076
SANTANDER,CURITI,0.8663281945092713,48.08121479526456,615439549.3793863
CESAR,CURUMANI,0.6796943761487328,44.180134449667634,565505720.9557457
VALLE DEL CAUCA,DAGUA,0.4305995742844137,53.82494678555171,688959318.8550619
LA GUAJIRA,DIBULLA,0.6187520213190307,297.00097023313475,3801612418.984125
LA GUAJIRA,DISTRACCION,0.6282023177350475,0.6282023177350475,8040989.667008609
TOLIMA,DOLORES,0.6012853872099949,46.900260202379606,600323330.590459
NORTE DE SANTANDER,DURANIA,0.734440280390408,8.078843084294487,103409191.47896942
ANTIOQUIA,EBEJICO,0.5148804862301644,21.624980421666905,276799749.39733636
VALLE DEL CAUCA,EL AGUILA,0.6695618334333294,10.043427501499941,128555872.01919925
ANTIOQUIA,EL BAGRE,0.4319095871479365,159.37463765758855,2039995362.0171335
CHOCO,EL CANTON DEL SAN PABLO,0.4231160467213813,35.96486397131741,460350258.8328629
NORTE DE SANTANDER,EL CARMEN,0.5269436101090493,412.59684671538565,5281239637.956936
CHOCO,EL CARMEN DE ATRATO,0.512228846584755,4.6100596192627945,59008763.126563765
BOLIVAR,EL CARMEN DE BOLIVAR,0.606413578004372,181.9240734013116,2328628139.5367885
SANTANDER,EL CARMEN DE CHUCURI,0.6795931652840105,9470.130758232686,121217673705.37839
ANTIOQUIA,EL CARMEN DE VIBORAL,0.26701574258986344,3.2041889110783615,41013618.06180303
META,EL CASTILLO,0.7592883814571436,411.5343027497718,5267639075.19708
NARINO,EL CHARCO,0.5127340471863463,317.3823752083484,4062494402.666859
CUNDINAMARCA,EL COLEGIO,0.5009980447833559,17.0339335226341,218034349.0897165
CESAR,EL COPEY,0.7511568218654195,237.36555570947257,3038279113.0812488
CAQUETA,EL DONCELLO,0.4392458053516585,251.24860066114869,3215982088.462703
